id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
227,2022,060006501237,0600065,4,99,99,56,6,2026-03-29
228,2022,060006501238,0600065,4,99,99,74,6,2026-03-29
229,2022,060006501239,0600065,4,99,99,89,6,2026-03-29
230,2022,060006501241,0600065,4,99,99,79,6,2026-03-29
231,2022,060006509359,0600065,4,99,99,89,6,2026-03-29
232,2022,060006511370,0600065,4,99,99,0,6,2026-03-29
233,2022,060006511536,0600065,4,99,99,77,6,2026-03-29
234,2022,060006700730,0600067,4,99,99,89,6,2026-03-29
235,2022,060006807312,0600068,4,99,99,94,6,2026-03-29
236,2022,060006811682,0600068,4,99,99,54,6,2026-03-29
237,2022,060006811949,0600068,4,99,99,0,6,2026-03-29
238,2022,060006812658,0600068,4,99,99,1,6,2026-03-29
239,2022,060006814039,0600068,4,99,99,2,6,2026-03-29
240,2022,060006814552,0600068,4,99,99,44,6,2026-03-29
241,2022,060006908610,0600069,4,99,99,33,6,2026-03-29
242,2022,060006908614,0600069,4,99,99,144,6,2026-03-29
243,2022,060006910646,0600069,4,99,99,6,6,2026-03-29
244,2022,060006911158,0600069,4,99,99,68,6,2026-03-29
245,2022,060011410927,0600114,4,99,99,0,6,2026-03-29
246,2022,060011607169,0600116,4,99,99,0,6,2026-03-29
247,2022,060011607170,0600116,4,99,99,23,6,2026-03-29
248,2022,060011609296,0600116,4,99,99,12,6,2026-03-29
249,2022,060011609482,0600116,4,99,99,23,6,2026-03-29
250,2022,060011614261,0600116,4,99,99,27,6,2026-03-29
251,2022,060015310934,0600153,4,99,99,100,6,2026-03-29
252,2022,060015310935,0600153,4,99,99,35,6,2026-03-29
253,2022,060015310936,0600153,4,99,99,57,6,2026-03-29
254,2022,060015310937,0600153,4,99,99,53,6,2026-03-29
255,2022,060015310938,0600153,4,99,99,45,6,2026-03-29
256,2022,060015310939,0600153,4,99,99,58,6,2026-03-29
257,2022,060015310940,0600153,4,99,99,110,6,2026-03-29
258,2022,060015310941,0600153,4,99,99,116,6,2026-03-29
259,2022,060015310942,0600153,4,99,99,60,6,2026-03-29
260,2022,060015310943,0600153,4,99,99,77,6,2026-03-29
261,2022,060015310944,0600153,4,99,99,97,6,2026-03-29
262,2022,060015310945,0600153,4,99,99,103,6,2026-03-29
263,2022,060015310946,0600153,4,99,99,83,6,2026-03-29
264,2022,060015811508,0600158,4,99,99,80,6,2026-03-29
265,2022,060015811509,0600158,4,99,99,85,6,2026-03-29
266,2022,060015811510,0600158,4,99,99,116,6,2026-03-29
267,2022,060015811511,0600158,4,99,99,117,6,2026-03-29
268,2022,060015811512,0600158,4,99,99,84,6,2026-03-29
269,2022,060015811513,0600158,4,99,99,85,6,2026-03-29
270,2022,060015811515,0600158,4,99,99,126,6,2026-03-29
271,2022,060015811816,0600158,4,99,99,114,6,2026-03-29
272,2022,060015812175,0600158,4,99,99,129,6,2026-03-29
273,2022,060015901473,0600159,4,99,99,20,6,2026-03-29
274,2022,060015901615,0600159,4,99,99,21,6,2026-03-29
275,2022,060016000936,0600160,4,99,99,24,6,2026-03-29
276,2022,060016010252,0600160,4,99,99,51,6,2026-03-29
277,2022,060016012074,0600160,4,99,99,11,6,2026-03-29
278,2022,060133106872,0601331,4,99,99,34,6,2026-03-29
279,2022,060133201201,0601332,4,99,99,58,6,2026-03-29
280,2022,060133201202,0601332,4,99,99,61,6,2026-03-29
281,2022,060133203711,0601332,4,99,99,70,6,2026-03-29
282,2022,060133204148,0601332,4,99,99,90,6,2026-03-29
283,2022,060133204149,0601332,4,99,99,67,6,2026-03-29
284,2022,060133204151,0601332,4,99,99,51,6,2026-03-29
285,2022,060133204153,0601332,4,99,99,80,6,2026-03-29
286,2022,060133204154,0601332,4,99,99,74,6,2026-03-29
287,2022,060133204155,0601332,4,99,99,145,6,2026-03-29
288,2022,060133204156,0601332,4,99,99,50,6,2026-03-29
289,2022,060133204157,0601332,4,99,99,35,6,2026-03-29
290,2022,060133205094,0601332,4,99,99,59,6,2026-03-29
291,2022,060133205095,0601332,4,99,99,83,6,2026-03-29
292,2022,060133205096,0601332,4,99,99,63,6,2026-03-29
293,2022,060133205097,0601332,4,99,99,56,6,2026-03-29
294,2022,060133205098,0601332,4,99,99,41,6,2026-03-29
295,2022,060133205100,0601332,4,99,99,47,6,2026-03-29
296,2022,060133205102,0601332,4,99,99,103,6,2026-03-29
297,2022,060133205103,0601332,4,99,99,65,6,2026-03-29
298,2022,060133205104,0601332,4,99,99,58,6,2026-03-29
299,2022,060133205105,0601332,4,99,99,80,6,2026-03-29
300,2022,060133205107,0601332,4,99,99,47,6,2026-03-29
301,2022,060133205108,0601332,4,99,99,38,6,2026-03-29
302,2022,060133205109,0601332,4,99,99,104,6,2026-03-29
303,2022,060133207240,0601332,4,99,99,11,6,2026-03-29
304,2022,060133208818,0601332,4,99,99,53,6,2026-03-29
305,2022,060133208952,0601332,4,99,99,87,6,2026-03-29
306,2022,060133209623,0601332,4,99,99,51,6,2026-03-29
307,2022,060133211074,0601332,4,99,99,60,6,2026-03-29
308,2022,060133211730,0601332,4,99,99,112,6,2026-03-29
309,2022,060133902076,0601339,4,99,99,45,6,2026-03-29
310,2022,060140909309,0601409,4,99,99,137,6,2026-03-29
311,2022,060141002500,0601410,4,99,99,33,6,2026-03-29
312,2022,060141011412,0601410,4,99,99,104,6,2026-03-29
313,2022,060141012109,0601410,4,99,99,98,6,2026-03-29
314,2022,060141012551,0601410,4,99,99,107,6,2026-03-29
315,2022,060141013781,0601410,4,99,99,67,6,2026-03-29
316,2022,060141014330,0601410,4,99,99,128,6,2026-03-29
317,2022,060141014521,0601410,4,99,99,96,6,2026-03-29
318,2022,060141402792,0601414,4,99,99,24,6,2026-03-29
319,2022,060141406015,0601414,4,99,99,81,6,2026-03-29
320,2022,060141406016,0601414,4,99,99,35,6,2026-03-29
321,2022,060141406018,0601414,4,99,99,67,6,2026-03-29
322,2022,060141406021,0601414,4,99,99,45,6,2026-03-29
323,2022,060141406025,0601414,4,99,99,44,6,2026-03-29
324,2022,060141406028,0601414,4,99,99,71,6,2026-03-29
325,2022,060141406032,0601414,4,99,99,88,6,2026-03-29
326,2022,060141408347,0601414,4,99,99,26,6,2026-03-29
327,2022,060141408980,0601414,4,99,99,30,6,2026-03-29
328,2022,060141500147,0601415,4,99,99,20,6,2026-03-29
329,2022,060141501785,0601415,4,99,99,110,6,2026-03-29
330,2022,060141809659,0601418,4,99,99,133,6,2026-03-29
331,2022,060142001618,0601420,4,99,99,65,6,2026-03-29
332,2022,060142005171,0601420,4,99,99,67,6,2026-03-29
333,2022,060142106105,0601421,4,99,99,41,6,2026-03-29
334,2022,060142106106,0601421,4,99,99,45,6,2026-03-29
335,2022,060142106107,0601421,4,99,99,82,6,2026-03-29
336,2022,060142106108,0601421,4,99,99,56,6,2026-03-29
337,2022,060142106110,0601421,4,99,99,50,6,2026-03-29
338,2022,060142106112,0601421,4,99,99,53,6,2026-03-29
